1,民生银行民生加银资管同业合作太原分行1号专项资产管理计划,一对一,2016/3/3,2018/2/28,50000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，末月20日；到期还本
1,民生银行民生加银资管同业合作太原分行1号专项资产管理计划,一对一,2016/3/9,2018/3/7,50000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，末月20日；到期还本
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/5/15,2016/5/14,38000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/6/11,2016/6/9,17500000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/7/16,2017/3/27,100000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/7/20,2017/3/28,11000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/7/20,2017/3/28,60000000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/8/7,2016/8/5,47400000,0.0003,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息，到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/11/30,2016/11/30,200000000,0.001,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息（不含20日），到期一次性还款
1,民生银行民生加银资管同业合作石家庄分行1号专项资产管理计划,一对一,2015/12/10,2016/12/9,200000000,0.001,,,金融合作四部,360,行内,民生银行,同业模式,胡新阳,按季收息（不含20日），到期一次性还款
